Word,Rank,Frequency
|,"--|,1123,14
powers,1124,14
required,1125,14
tender,1126,14
favourable,1127,14
suspected,1128,14
reply,1129,14
strange,1130,14
remain,1131,14
catch,1132,14
following,1133,14
story,1134,14
compliments,1135,14
deep,1136,14
infinitely,1137,14
--(,1138,14
order,1139,14
explanation,1140,14
proposed,1141,14
Some,1142,14
staying,1143,14
servants,1144,14
post,1145,13
boy,1146,13
strength,1147,13
suspicions,1148,13
avoid,1149,13
Larkins,1150,13
Come,1151,13
stop,1152,13
proceeded,1153,13
Nash,1154,13
objection,1155,13
parting,1156,13
window,1157,13
confess,1158,13
piece,1159,13
bed,1160,13
expecting,1161,13
suit,1162,13
assist,1163,13
bride,1164,13
hearted,1165,13
paper,1166,13
By,1167,13
possibility,1168,13
Martins,1169,13
blind,1170,13
winter,1171,13
prospect,1172,13
Quite,1173,13
fast,1174,13
endure,1175,13
suffer,1176,13
observation,1177,13
admitted,1178,13
particulars,1179,13
month,1180,13
wonderful,1181,13
boys,1182,13
solicitude,1183,13
Who,1184,13
willing,1185,13
civil,1186,13
fit,1187,13
Aye,1188,13
imagination,1189,13
light,1190,13
unpleasant,1191,13
Was,1192,13
compassion,1193,13
follow,1194,13
undoubtedly,1195,13
evidently,1196,13
sensations,1197,13
attend,1198,13
harm,1199,13
seldom,1200,13
former,1201,13
judged,1202,13
Richmond,1203,13
leisure,1204,13
vanity,1205,13
appears,1206,13
arrival,1207,13
public,1208,13
burst,1209,13
girls,1210,13
intelligence,1211,13
around,1212,13
fancying,1213,12
claim,1214,12
Could,1215,12
moments,1216,12
Patty,1217,12
silly,1218,12
doors,1219,12
spare,1220,12
gallantry,1221,12
dining,1222,12
breakfast,1223,12
grandmama,1224,12
arranged,1225,12
venture,1226,12
decidedly,1227,12
private,1228,12
_that_,1229,12
becoming,1230,12
lead,1231,12
happen,1232,12
bye,1233,12
feared,1234,12
break,1235,12
increase,1236,12
intelligible,1237,12
frightened,1238,12
questions,1239,12
touch,1240,12
sooner,1241,12
probability,1242,12
become,1243,12
earnestly,1244,12
begun,1245,12
increased,1246,12
drive,1247,12
misery,1248,12
induced,1249,12
clear,1250,12
acknowledged,1251,12
An,1252,12
blessing,1253,12
glance,1254,12
school,1255,12
separate,1256,12
sound,1257,12
hard,1258,12
_him_,1259,12
melancholy,1260,12
advantages,1261,12
wretched,1262,12
peace,1263,12
formed,1264,12
awkward,1265,12
impatient,1266,12
journey,1267,12
settle,1268,12
importance,1269,12
thus,1270,12
truly,1271,12
sisters,1272,12
size,1273,12
throat,1274,12
proceed,1275,12
Of,1276,12
material,1277,12
|.,|,1278,12
declare,1279,12
desired,1280,12
thorough,1281,12
complexion,1282,12
eat,1283,12
seated,1284,12
habits,1285,12
suffered,1286,12
exclaimed,1287,12
above,1288,12
preference,1289,12
excessively,1290,12
d,1291,12
Vicarage,1292,12
intercourse,1293,12
parlour,1294,12
finished,1295,12
recovered,1296,12
inquiry,1297,12
folly,1298,12
thanks,1299,11
families,1300,11
pause,1301,11
Brunswick,1302,11
book,1303,11
prove,1304,11
behaved,1305,11
forced,1306,11
independence,1307,11
luck,1308,11
street,1309,11
invite,1310,11
entreat,1311,11
gallant,1312,11
reserve,1313,11
eagerly,1314,11
points,1315,11
From,1316,11
comparison,1317,11
hot,1318,11
compared,1319,11
succeeded,1320,11
connected,1321,11
excepting,1322,11
uneasy,1323,11
paying,1324,11
mad,1325,11
lovely,1326,11
borne,1327,11
wit,1328,11
housekeeper,1329,11
concealment,1330,11
partner,1331,11
closed,1332,11
somebody,1333,11
message,1334,11
tells,1335,11
mile,1336,11
confined,1337,11
raise,1338,11
steady,1339,11
beg,1340,11
lively,1341,11
sufficient,1342,11
disengaged,1343,11
exploring,1344,11
carriages,1345,11
comfortably,1346,11
accept,1347,11
pray,1348,11
fear,1349,11
mistress,1350,11
dependence,1351,11
Will,1352,11
Square,1353,11
persons,1354,11
madam,1355,11
Never,1356,11
add,1357,11
persuasion,1358,11
bringing,1359,11
humble,1360,11
dream,1361,11
kindly,1362,11
Certainly,1363,11
cared,1364,11
scruple,1365,11
differently,1366,11
_not_,1367,11
places,1368,11
youth,1369,11
judging,1370,11
exceedingly,1371,11
wholly,1372,11
wants,1373,11
faults,1374,11
companions,1375,11
keeping,1376,11
Mill,1377,11
quarrel,1378,11
subjects,1379,11
E,1380,11
Christmas,1381,11
extreme,1382,11
maid,1383,11
continue,1384,11
laid,1385,11
garden,1386,11
lay,1387,11
miserable,1388,11
step,1389,11
nervous,1390,11
highest,1391,11
conscious,1392,11
pork,1393,11
seat,1394,11
remarkably,1395,11
patience,1396,11
accomplished,1397,11
ma,1398,11
secured,1399,11
warmth,1400,11
affections,1401,11
chair,1402,11
advise,1403,11
mortification,1404,11
feels,1405,10
distant,1406,10
sentiment,1407,10
attentive,1408,10
improvement,1409,10
tempered,1410,10
writes,1411,10
scruples,1412,10
pretend,1413,10
perfection,1414,10
refused,1415,10
money,1416,10
produce,1417,10
agitated,1418,10
resources,1419,10
leaving,1420,10
fell,1421,10
peculiarly,1422,10
superiority,1423,10
success,1424,10
matters,1425,10
unless,1426,10
begged,1427,10
dared,1428,10
expressed,1429,10
grew,1430,10
Smallridge,1431,10
happier,1432,10
supper,1433,10
inconvenience,1434,10
_me_,1435,10
absent,1436,10
satisfy,1437,10
bustle,1438,10
civility,1439,10
syllable,1440,10
consolation,1441,10
apparent,1442,10
tall,1443,10
presume,1444,10
parted,1445,10
deceived,1446,10
grow,1447,10
resolve,1448,10
human,1449,10
higher,1450,10
preferred,1451,10
deserved,1452,10
admit,1453,10
felicity,1454,10
perceived,1455,10
deeply,1456,10
intimate,1457,10
memory,1458,10
England,1459,10
report,1460,10
fall,1461,10
eagerness,1462,10
forming,1463,10
gradually,1464,10
ordered,1465,10
draw,1466,10
evils,1467,10
grounds,1468,10
uneasiness,1469,10
safety,1470,10
proposal,1471,10
cross,1472,10
employment,1473,10
liberal,1474,10
death,1475,10
shewn,1476,10
distinction,1477,10
watch,1478,10
asking,1479,10
income,1480,10
honourable,1481,10
Even,1482,10
daily,1483,10
_very_,1484,10
Depend,1485,10
addition,1486,10
lucky,1487,10
middle,1488,10
distinct,1489,10
simplicity,1490,10
charm,1491,10
.'",1492,10
sunk,1493,10
sick,1494,10
rule,1495,10
removed,1496,10
Wingfield,1497,10
interrupted,1498,10
six,1499,10
accepted,1500,10
connexions,1501,10
delicate,1502,10
united,1503,10
moving,1504,10
tempted,1505,10
direct,1506,10
conveyed,1507,10
occur,1508,10
nice,1509,10
court,1510,10
certainty,1511,10
positively,1512,10
figure,1513,10
inquiries,1514,10
necessity,1515,10
pains,1516,10
putting,1517,10
Selina,1518,10
All,1519,10
seeming,1520,10
properly,1521,10
talent,1522,9
plaister,1523,9
valuable,1524,9
governess,1525,9
secure,1526,9
independent,1527,9
sacrifice,1528,9
foolish,1529,9
fancied,1530,9
addressing,1531,9
grown,1532,9
unreasonable,1533,9
visitor,1534,9
parish,1535,9
failed,1536,9
increasing,1537,9
loves,1538,9
motive,1539,9
intentions,1540,9
horse,1541,9
setting,1542,9
attended,1543,9
quickness,1544,9
civilities,1545,9
windows,1546,9
concerns,1547,9
resumed,1548,9
terms,1549,9
fairly,1550,9
convince,1551,9
heavy,1552,9
quietly,1553,9
admire,1554,9
illness,1555,9
reserved,1556,9
fix,1557,9
shake,1558,9
speaks,1559,9
encouraging,1560,9
doubted,1561,9
doubtful,1562,9
rank,1563,9
dull,1564,9
ignorant,1565,9
recommended,1566,9
spectacles,1567,9
choice,1568,9
dread,1569,9
prevented,1570,9
shut,1571,9
affectionate,1572,9
language,1573,9
ran,1574,9
named,1575,9
engagements,1576,9
supply,1577,9
quitted,1578,9
chose,1579,9
playing,1580,9
sufficiently,1581,9
baked,1582,9
sink,1583,9
pretence,1584,9
pressed,1585,9
instance,1586,9
reproach,1587,9
Were,1588,9
turns,1589,9
held,1590,9
Don,1591,9
conceal,1592,9
progress,1593,9
liberty,1594,9
troublesome,1595,9
stopt,1596,9
hesitation,1597,9
.'--,1598,9
throw,1599,9
number,1600,9
grandmother,1601,9
continual,1602,9
receive,1603,9
plans,1604,9
employed,1605,9
address,1606,9
overcome,1607,9
shewing,1608,9
communication,1609,9
expression,1610,9
trusted,1611,9
Me,1612,9
gruel,1613,9
relief,1614,9
fellow,1615,9
beloved,1616,9
opinions,1617,9
falling,1618,9
hurrying,1619,9
inquire,1620,9
previous,1621,9
card,1622,9
enjoy,1623,9
soft,1624,9
shame,1625,9
pleasures,1626,9
collected,1627,9
tears,1628,9
Their,1629,9
clock,1630,9
forty,1631,9
trifling,1632,9
Surry,1633,9
carrying,1634,9
tolerable,1635,9
ended,1636,8
supposing,1637,8
exquisite,1638,8
Kingston,1639,8
entire,1640,8
temptation,1641,8
mixture,1642,8
dress,1643,8
horror,1644,8
protest,1645,8
foot,1646,8
played,1647,8
principal,1648,8
offered,1649,8
depended,1650,8
nearer,1651,8
oh,1652,8
forbearance,1653,8
introduced,1654,8
instant,1655,8
danced,1656,8
sore,1657,8
encouraged,1658,8
Cox,1659,8
stronger,1660,8
frequent,1661,8
precious,1662,8
coolly,1663,8
existence,1664,8
dangerous,1665,8
End,1666,8
constantly,1667,8
attraction,1668,8
discovery,1669,8
communicated,1670,8
cheerfully,1671,8
Much,1672,8
enter,1673,8
recollection,1674,8
vulgar,1675,8
performance,1676,8
grave,1677,8
watched,1678,8
aloud,1679,8
shop,1680,8
dreadfully,1681,8
hurried,1682,8
cake,1683,8
older,1684,8
describe,1685,8
length,1686,8
takes,1687,8
natured,1688,8
prospects,1689,8
introduce,1690,8
parcel,1691,8
Bristol,1692,8
expressing,1693,8
pleasantly,1694,8
carry,1695,8
grieved,1696,8
shook,1697,8
hurt,1698,8
acceptable,1699,8
farmer,1700,8
grace,1701,8
Another,1702,8
excuses,1703,8
offence,1704,8
leading,1705,8
Elizabeth,1706,8
strawberries,1707,8
o,1708,8
Yorkshire,1709,8
unnecessary,1710,8
Westons,1711,8
heat,1712,8
houses,1713,8
Though,1714,8
delightfully,1715,8
neighbour,1716,8
introduction,1717,8
evident,1718,8
support,1719,8
staid,1720,8
rose,1721,8
eldest,1722,8
mortified,1723,8
comforts,1724,8
acting,1725,8
expressions,1726,8
Something,1727,8
talents,1728,8
abroad,1729,8
visiting,1730,8
conclusion,1731,8
reconciled,1732,8
pardon,1733,8
wise,1734,8
displeased,1735,8
indulgence,1736,8
water,1737,8
passion,1738,8
dressed,1739,8
May,1740,8
proud,1741,8
warmest,1742,8
entering,1743,8
perceive,1744,8
amuse,1745,8
conscience,1746,8
propriety,1747,8
watching,1748,8
South,1749,8
resentment,1750,8
several,1751,8
decision,1752,8
English,1753,8
suited,1754,8
crowd,1755,8
tongue,1756,8
apple,1757,8
God,1758,8
declined,1759,8
larger,1760,8
attending,1761,8
afforded,1762,8
assurance,1763,8
error,1764,8
missed,1765,8
observing,1766,8
remembrance,1767,8
Our,1768,8
cares,1769,8
Those,1770,8
Are,1771,8
tete,1772,8
frequently,1773,8
earnest,1774,8
_She_,1775,8
earlier,1776,8
merits,1777,7
tiresome,1778,7
strongly,1779,7
approach,1780,7
substance,1781,7
flutter,1782,7
anger,1783,7
sanguine,1784,7
forgetting,1785,7
arise,1786,7
moderate,1787,7
hastily,1788,7
hitherto,1789,7
daughters,1790,7
shocked,1791,7
endured,1792,7
female,1793,7
escaped,1794,7
June,1795,7
recommendation,1796,7
Time,1797,7
impression,1798,7
shade,1799,7
apt,1800,7
distinctly,1801,7
unwell,1802,7
blindness,1803,7
amusing,1804,7
dances,1805,7
front,1806,7
quickly,1807,7
features,1808,7
parade,1809,7
